Year,Company,Mkt_Share_Perc,CompanyType,,,,
2000,Agency Insurance Co. of MD Inc,0.01,Independent,,,,
2000,AIG,1.33,Independent,,,,
2000,Alfa Mutual Group,0.33,Independent,,,,
2000,Allstate Corp,11.65,Captive,,,,
2000,American Access Casualty Co.,0.01,Independent,,,,
2000,American Family Insurance,2.31,Captive,,,,
2000,American National,0.33,Independent,,,,
2000,Amica,0.58,Direct,,,,
2000,AmTrust Financial,0.19,Independent,,,,
2000,Arbella Insurance,0.38,Independent,,,,
2000,AssuranceAmerica,0,Independent,,,,
2000,Auto Club Exchange,1.1,Direct,,,,
2000,Auto Club Insurance Association,0.92,Direct,,,,
2000,Auto-Owners Insurance,0.65,Independent,,,,
2000,Bear River Mutual Insurance Co,0.02,Captive,,,,
2000,Berkshire Hathaway Inc.,4.61,Direct,,,,
2000,California Casualty,0.15,Direct,,,,
2000,Central Insurance Companies,0.07,Independent,,,,
2000,Chubb,0.31,Independent,,,,
2000,Consumers County Mutual Ins Co,0.1,Independent,,,,
2000,COUNTRY Financial,0.61,Independent,,,,
2000,CSAA Insurance Exchange,1.31,Direct,,,,
2000,Donegal,0.11,Independent,,,,
2000,Elephant Insurance Co.,,Direct,,,,
2000,Encova Insurance,0.15,Independent,,,,
2000,Erie Insurance,1.02,Independent,,,,
2000,Farm Bureau Financial Services,0.22,Independent,,,,
2000,Farm Bureau Mutl Ins Co. of ID,0.04,Independent,,,,
2000,Farmers Insurance,7.21,Captive,,,,
2000,Farmers Mutual Ins Co. of NE,0.04,Independent,,,,
2000,First Acceptance,0.01,Independent,,,,
2000,Frankenmuth Insurance,0.04,Independent,,,,
2000,Georgia Farm Bureau,0.17,Independent,,,,
2000,Germania Insurance,0.03,Independent,,,,
2000,GoAuto Insurance Co.,0,Independent,,,,
2000,Grange Insurance,0.32,Independent,,,,
2000,Grinnell Mutual,0.08,Independent,,,,
2000,Home State Insurance Grp Inc.,0.19,Independent,,,,
2000,Horace Mann,0.3,Independent,,,,
2000,IMT,0.03,Independent,,,,
2000,Indiana Farm Bureau,0.18,Independent,,,,
2000,Kemper,1.12,Direct,,,,
2000,Kentucky Farm Bureau,0.26,Independent,,,,
2000,Liberty Mutual,4.82,Independent,,,,
2000,Loya Insurance,0,Captive,,,,
2000,MAPFRE,0.81,Independent,,,,
2000,Markel,0.11,Independent,,,,
2000,Mercury Insurance,0.98,Independent,,,,
2000,MetLife,1.29,Independent,,,,
2000,MGA Insurance Co.,0.03,Independent,,,,
2000,Michigan Farm Bureau,0.12,Independent,,,,
2000,Mutual of Enumclaw,0.09,Independent,,,,
2000,National General Holdings Corp,1.07,Direct,,,,
2000,Nationwide,4.97,Captive,,,,
2000,NJM Insurance,0.47,Direct,,,,
2000,Nodak Mutual Group Inc.,0.03,Independent,,,,
2000,North Carolina Farm Bureau Insurance,0.23,Independent,,,,
2000,North Star Mutual Insurance Co,0.01,Independent,,,,
2000,NYCM Insurance,0.21,Independent,,,,
2000,Ocean Harbor Insurance,0.02,Independent,,,,
2000,Ohio Mutual Insurance Group,0.05,Independent,,,,
2000,Old American,0.12,Independent,,,,
2000,Pekin Insurance,0.08,Independent,,,,
2000,PEMCO Mutual Insurance Co.,0.11,Independent,,,,
2000,Penn National Insurance,0.1,Independent,,,,
2000,Pioneer State Mutual Ins Co.,0.02,Independent,,,,
2000,Plymouth Rock Co.,0.14,Independent,,,,
2000,Plymouth Rock of New Jersey,0.47,Independent,,,,
2000,Progressive,4.68,Direct,,,,
2000,Quincy Mutual,0.06,Independent,,,,
2000,Redpoint County Mutual Ins Co.,0.03,Independent,,,,
2000,Root Insurance Co.,0,Direct,,,,
2000,Safe Auto Insurance Group,0.04,Independent,,,,
2000,Safety Insurance,0.3,Independent,,,,
2000,Safeway Insurance,0.1,Independent,,,,
2000,Selective,0.15,Independent,,,,
2000,Sentry,0.72,Independent,,,,
2000,Shelter Insurance,0.43,Independent,,,,
2000,Southern Farm Bureau Casualty,0.57,Independent,,,,
2000,State Auto,0.43,Independent,,,,
2000,State Farm,18.06,Captive,,,,
2000,Tennessee Farmers Insurance Companies,0.3,Independent,,,,
2000,Texas Farm Bureau Insurance,0.03,Captive,,,,
2000,The Cincinnati Insurance Cos.,0.29,Independent,,,,
2000,The Hanover Insurance Group,0.81,Independent,,,,
2000,The Hartford,1.5,Independent,,,,
2000,Tiptree Inc.,0.03,Independent,,,,
2000,Tokio Marine,0.03,Independent,,,,
2000,Travelers,2.26,Independent,,,,
2000,United Automobile Insurance Co,0.04,Independent,,,,
2000,Universal Group Inc.,0.08,Independent,,,,
2000,USAA,3.36,Direct,,,,
2000,Utica National Insurance Group,0.13,Independent,,,,
2000,VA Farm Bureau Federation,0.09,Independent,,,,
2000,Wawanesa General Insurance Co.,0.05,Independent,,,,
2000,West Bend Mutual Insurance Co.,0.06,Independent,,,,
2000,Western National Insurance,0.14,Independent,,,,
2000,Westfield Insurance,0.25,Independent,,,,
2001,ACCC Insurance Co.,0,Independent,,,,
2001,ACUITY A Mutual Insurance Co.,0.07,Independent,,,,
2001,Agency Insurance Co. of MD Inc,0.01,Independent,,,,
2001,AIG,1.43,Independent,,,,
2001,Alfa Mutual Group,0.32,Independent,,,,
2001,Allstate Corp,11.13,Captive,,,,
2001,American Access Casualty Co.,0.01,Independent,,,,
2001,American Family Insurance,2.32,Captive,,,,
2001,American National,0.34,Independent,,,,
2001,Amica,0.57,Direct,,,,
2001,AmTrust Financial,0.18,Independent,,,,
2001,Arbella Insurance,0.33,Independent,,,,
2001,AssuranceAmerica,0.01,Independent,,,,
2001,Auto Club Exchange,1.07,Direct,,,,
2001,Auto Club Insurance Association,0.92,Direct,,,,
2001,Auto-Owners Insurance,0.69,Independent,,,,
2001,Bear River Mutual Insurance Co,0.02,Captive,,,,
2001,Berkshire Hathaway Inc.,4.56,Direct,,,,
2001,California Casualty,0.15,Direct,,,,
2001,Central Insurance Companies,0.07,Independent,,,,
2001,Chubb,0.33,Independent,,,,
2001,Consumers County Mutual Ins Co,0.04,Independent,,,,
2001,COUNTRY Financial,0.6,Independent,,,,
2001,CSAA Insurance Exchange,1.25,Direct,,,,
2001,Donegal,0.12,Independent,,,,
2001,Elephant Insurance Co.,,Direct,,,,
2001,Encova Insurance,0.14,Independent,,,,
2001,Erie Insurance,1.04,Independent,,,,
2001,Farm Bureau Financial Services,0.22,Independent,,,,
2001,Farm Bureau Mutl Ins Co. of ID,0.04,Independent,,,,
2001,Farmers Insurance,7.1,Captive,,,,
2001,Farmers Mutual Ins Co. of NE,0.05,Independent,,,,
2001,First Acceptance,0.01,Independent,,,,
2001,Frankenmuth Insurance,0.05,Independent,,,,
2001,Georgia Farm Bureau,0.17,Independent,,,,
2001,Germania Insurance,0.03,Independent,,,,
2001,GoAuto Insurance Co.,0,Independent,,,,
2001,Grange Insurance,0.34,Independent,,,,
2001,Grinnell Mutual,0.09,Independent,,,,
2001,Home State Insurance Grp Inc.,0.19,Independent,,,,
2001,Horace Mann,0.29,Independent,,,,
2001,IMT,0.03,Independent,,,,
2001,Indiana Farm Bureau,0.18,Independent,,,,
2001,Kemper,1.11,Direct,,,,
2001,Kentucky Farm Bureau,0.26,Independent,,,,
2001,Liberty Mutual,4.62,Independent,,,,
2001,Loya Insurance,0,Captive,,,,
2001,MAPFRE,0.79,Independent,,,,
2001,Markel,0.08,Independent,,,,
2001,Mercury Insurance,1.07,Independent,,,,
2001,MetLife,1.4,Independent,,,,
2001,MGA Insurance Co.,0.03,Independent,,,,
2001,Michigan Farm Bureau,0.12,Independent,,,,
2001,Mutual of Enumclaw,0.08,Independent,,,,
2001,National General Holdings Corp,1.06,Direct,,,,
2001,Nationwide,5,Captive,,,,
2001,NJM Insurance,0.47,Direct,,,,
2001,Nodak Mutual Group Inc.,0.02,Independent,,,,
2001,North Carolina Farm Bureau Insurance,0.23,Independent,,,,
2001,North Star Mutual Insurance Co,0.02,Independent,,,,
2001,NYCM Insurance,0.23,Independent,,,,
2001,Ocean Harbor Insurance,0.04,Independent,,,,
2001,Ohio Mutual Insurance Group,0.05,Independent,,,,
2001,Old American,0.14,Independent,,,,
2001,Pekin Insurance,0.09,Independent,,,,
2001,PEMCO Mutual Insurance Co.,0.11,Independent,,,,
2001,Penn National Insurance,0.09,Independent,,,,
2001,Pioneer State Mutual Ins Co.,0.02,Independent,,,,
2001,Plymouth Rock Co.,0.15,Independent,,,,
2001,Plymouth Rock of New Jersey,0.45,Independent,,,,
2001,Progressive,4.84,Direct,,,,
2001,Quincy Mutual,0.06,Independent,,,,
2001,Redpoint County Mutual Ins Co.,0.04,Independent,,,,
2001,Root Insurance Co.,0,Direct,,,,
2001,Safe Auto Insurance Group,0.07,Independent,,,,
2001,Safety Insurance,0.3,Independent,,,,
2001,Safeway Insurance,0.14,Independent,,,,
2001,Selective,0.13,Independent,,,,
2001,Sentry,0.69,Independent,,,,
2001,Shelter Insurance,0.42,Independent,,,,
2001,Southern Farm Bureau Casualty,0.59,Independent,,,,
2001,State Auto,0.39,Independent,,,,
2001,State Farm,19.15,Captive,,,,
2001,Tennessee Farmers Insurance Companies,0.3,Independent,,,,
2001,Texas Farm Bureau Insurance,0.03,Captive,,,,
2001,The Cincinnati Insurance Cos.,0.36,Independent,,,,
2001,The Hanover Insurance Group,0.81,Independent,,,,
2001,The Hartford,1.52,Independent,,,,
2001,Tiptree Inc.,0.03,Independent,,,,
2001,Tokio Marine,0.03,Independent,,,,
2001,Travelers,2.08,Independent,,,,
2001,United Automobile Insurance Co,0.08,Independent,,,,
2001,Universal Group Inc.,0.08,Independent,,,,
2001,USAA,3.44,Direct,,,,
2001,Utica National Insurance Group,0.13,Independent,,,,
2001,VA Farm Bureau Federation,0.08,Independent,,,,
2001,Wawanesa General Insurance Co.,0.06,Independent,,,,
2001,West Bend Mutual Insurance Co.,0.06,Independent,,,,
2001,Western National Insurance,0.13,Independent,,,,
2001,Westfield Insurance,0.24,Independent,,,,
2002,ACCC Insurance Co.,0.01,Independent,,,,
2002,ACUITY A Mutual Insurance Co.,0.07,Independent,,,,
2002,Agency Insurance Co. of MD Inc,0.02,Independent,,,,
2002,AIG,1.22,Independent,,,,
2002,Alfa Mutual Group,0.31,Independent,,,,
2002,Allstate Corp,10.54,Captive,,,,
2002,American Access Casualty Co.,0.02,Independent,,,,
2002,American Family Insurance,2.44,Captive,,,,
2002,American National,0.36,Independent,,,,
2002,Amica,0.59,Direct,,,,
2002,AmTrust Financial,0.17,Independent,,,,
2002,Arbella Insurance,0.31,Independent,,,,
2002,AssuranceAmerica,0.01,Independent,,,,
2002,Auto Club Exchange,1.14,Direct,,,,
2002,Auto Club Insurance Association,0.96,Direct,,,,
2002,Auto-Owners Insurance,0.77,Independent,,,,
2002,Bear River Mutual Insurance Co,0.02,Captive,,,,
2002,Berkshire Hathaway Inc.,4.66,Direct,,,,
2002,California Casualty,0.16,Direct,,,,
2002,Central Insurance Companies,0.07,Independent,,,,
2002,Chubb,0.34,Independent,,,,
2002,Consumers County Mutual Ins Co,0.04,Independent,,,,
2002,COUNTRY Financial,0.6,Independent,,,,
2002,CSAA Insurance Exchange,1.24,Direct,,,,
2002,Donegal,0.12,Independent,,,,
2002,Elephant Insurance Co.,,Direct,,,,
2002,Encova Insurance,0.15,Independent,,,,
2002,Erie Insurance,1.14,Independent,,,,
2002,Farm Bureau Financial Services,0.26,Independent,,,,
2002,Farm Bureau Mutl Ins Co. of ID,0.04,Independent,,,,
2002,Farmers Insurance,6.97,Captive,,,,
2002,Farmers Mutual Ins Co. of NE,0.05,Independent,,,,
2002,First Acceptance,0.04,Independent,,,,
2002,Frankenmuth Insurance,0.04,Independent,,,,
2002,Georgia Farm Bureau,0.16,Independent,,,,
2002,Germania Insurance,0.04,Independent,,,,
2002,GoAuto Insurance Co.,0,Independent,,,,
2002,Grange Insurance,0.36,Independent,,,,
2002,Grinnell Mutual,0.09,Independent,,,,
2002,Home State Insurance Grp Inc.,0.2,Independent,,,,
2002,Horace Mann,0.26,Independent,,,,
2002,IMT,0.03,Independent,,,,
2002,Indiana Farm Bureau,0.17,Independent,,,,
2002,Kemper,1.09,Direct,,,,
2002,Kentucky Farm Bureau,0.26,Independent,,,,
2002,Liberty Mutual,4.59,Independent,,,,
2002,Loya Insurance,0,Captive,,,,
2002,MAPFRE,0.85,Independent,,,,
2002,Markel,0.05,Independent,,,,
2002,Mercury Insurance,1.2,Independent,,,,
2002,MetLife,1.47,Independent,,,,
2002,MGA Insurance Co.,0.02,Independent,,,,
2002,Michigan Farm Bureau,0.15,Independent,,,,
2002,Mutual of Enumclaw,0.07,Independent,,,,
2002,National General Holdings Corp,1.13,Direct,,,,
2002,Nationwide,4.82,Captive,,,,
2002,NJM Insurance,0.48,Direct,,,,
2002,Nodak Mutual Group Inc.,0.03,Independent,,,,
2002,North Carolina Farm Bureau Insurance,0.23,Independent,,,,
2002,North Star Mutual Insurance Co,0.02,Independent,,,,
2002,NYCM Insurance,0.24,Independent,,,,
2002,Ocean Harbor Insurance,0.04,Independent,,,,
2002,Ohio Mutual Insurance Group,0.06,Independent,,,,
2002,Old American,0.21,Independent,,,,
2002,Pekin Insurance,0.09,Independent,,,,
2002,PEMCO Mutual Insurance Co.,0.1,Independent,,,,
2002,Penn National Insurance,0.09,Independent,,,,
2002,Pioneer State Mutual Ins Co.,0.04,Independent,,,,
2002,Plymouth Rock Co.,0.16,Independent,,,,
2002,Plymouth Rock of New Jersey,0.51,Independent,,,,
2002,Progressive,5.73,Direct,,,,
2002,Quincy Mutual,0.06,Independent,,,,
2002,Redpoint County Mutual Ins Co.,0.03,Independent,,,,
2002,Root Insurance Co.,0,Direct,,,,
2002,Safe Auto Insurance Group,0.1,Independent,,,,
2002,Safety Insurance,0.29,Independent,,,,
2002,Safeway Insurance,0.17,Independent,,,,
2002,Selective,0.12,Independent,,,,
2002,Sentry,0.62,Independent,,,,
2002,Shelter Insurance,0.43,Independent,,,,
2002,Southern Farm Bureau Casualty,0.61,Independent,,,,
2002,State Auto,0.36,Independent,,,,
2002,State Farm,19.56,Captive,,,,
2002,Tennessee Farmers Insurance Companies,0.29,Independent,,,,
2002,Texas Farm Bureau Insurance,0.04,Captive,,,,
2002,The Cincinnati Insurance Cos.,0.28,Independent,,,,
2002,The Hanover Insurance Group,0.8,Independent,,,,
2002,The Hartford,1.46,Independent,,,,
2002,Tiptree Inc.,0.03,Independent,,,,
2002,Tokio Marine,0.03,Independent,,,,
2002,Travelers,1.87,Independent,,,,
2002,United Automobile Insurance Co,0.15,Independent,,,,
2002,Universal Group Inc.,0.09,Independent,,,,
2002,USAA,3.56,Direct,,,,
2002,Utica National Insurance Group,0.13,Independent,,,,
2002,VA Farm Bureau Federation,0.08,Independent,,,,
2002,Wawanesa General Insurance Co.,0.08,Independent,,,,
2002,West Bend Mutual Insurance Co.,0.06,Independent,,,,
2002,Western National Insurance,0.13,Independent,,,,
2002,Westfield Insurance,0.23,Independent,,,,
2003,ACCC Insurance Co.,0.02,Independent,,,,
2003,ACUITY A Mutual Insurance Co.,0.07,Independent,,,,
2003,Agency Insurance Co. of MD Inc,0.02,Independent,,,,
2003,AIG,1.36,Independent,,,,
2003,Alfa Mutual Group,0.3,Independent,,,,
2003,Allstate Corp,10.19,Captive,,,,
2003,American Access Casualty Co.,0.02,Independent,,,,
2003,American Family Insurance,2.49,Captive,,,,
2003,American National,0.36,Independent,,,,
2003,Amica,0.6,Direct,,,,
2003,AmTrust Financial,0.17,Independent,,,,
2003,Arbella Insurance,0.28,Independent,,,,
2003,AssuranceAmerica,0.02,Independent,,,,
2003,Auto Club Exchange,1.21,Direct,,,,
2003,Auto Club Insurance Association,0.97,Direct,,,,
2003,Auto-Owners Insurance,0.83,Independent,,,,
2003,Bear River Mutual Insurance Co,0.03,Captive,,,,
2003,Berkshire Hathaway Inc.,4.99,Direct,,,,
2003,California Casualty,0.17,Direct,,,,
2003,Central Insurance Companies,0.08,Independent,,,,
2003,Chubb,0.35,Independent,,,,
2003,Consumers County Mutual Ins Co,0.08,Independent,,,,
2003,COUNTRY Financial,0.62,Independent,,,,
2003,CSAA Insurance Exchange,1.21,Direct,,,,
2003,Donegal,0.12,Independent,,,,
2003,Elephant Insurance Co.,,Direct,,,,
2003,Encova Insurance,0.15,Independent,,,,
2003,Erie Insurance,1.19,Independent,,,,
2003,Farm Bureau Financial Services,0.26,Independent,,,,
2003,Farm Bureau Mutl Ins Co. of ID,0.04,Independent,,,,
2003,Farmers Insurance,6.78,Captive,,,,
2003,Farmers Mutual Ins Co. of NE,0.05,Independent,,,,
2003,First Acceptance,0.06,Independent,,,,
2003,Frankenmuth Insurance,0.05,Independent,,,,
2003,Georgia Farm Bureau,0.16,Independent,,,,
2003,Germania Insurance,0.03,Independent,,,,
2003,GoAuto Insurance Co.,0,Independent,,,,
2003,Grange Insurance,0.36,Independent,,,,
2003,Grinnell Mutual,0.08,Independent,,,,
2003,Home State Insurance Grp Inc.,0.23,Independent,,,,
2003,Horace Mann,0.25,Independent,,,,
2003,IMT,0.03,Independent,,,,
2003,Indiana Farm Bureau,0.17,Independent,,,,
2003,Kemper,1.12,Direct,,,,
2003,Kentucky Farm Bureau,0.27,Independent,,,,
2003,Liberty Mutual,4.62,Independent,,,,
2003,Loya Insurance,0,Captive,,,,
2003,MAPFRE,0.91,Independent,,,,
2003,Markel,0.04,Independent,,,,
2003,Mercury Insurance,1.31,Independent,,,,
2003,MetLife,1.39,Independent,,,,
2003,MGA Insurance Co.,0.02,Independent,,,,
2003,Michigan Farm Bureau,0.17,Independent,,,,
2003,Mutual of Enumclaw,0.07,Independent,,,,
2003,National General Holdings Corp,1.26,Direct,,,,
2003,Nationwide,4.72,Captive,,,,
2003,NJM Insurance,0.49,Direct,,,,
2003,Nodak Mutual Group Inc.,0.02,Independent,,,,
2003,North Carolina Farm Bureau Insurance,0.23,Independent,,,,
2003,North Star Mutual Insurance Co,0.02,Independent,,,,
2003,NYCM Insurance,0.24,Independent,,,,
2003,Ocean Harbor Insurance,0.07,Independent,,,,
2003,Ohio Mutual Insurance Group,0.05,Independent,,,,
2003,Old American,0.23,Independent,,,,
2003,Pekin Insurance,0.08,Independent,,,,
2003,PEMCO Mutual Insurance Co.,0.1,Independent,,,,
2003,Penn National Insurance,0.09,Independent,,,,
2003,Pioneer State Mutual Ins Co.,0.04,Independent,,,,
2003,Plymouth Rock Co.,0.18,Independent,,,,
2003,Plymouth Rock of New Jersey,0.56,Independent,,,,
2003,Progressive,6.65,Direct,,,,
2003,Quincy Mutual,0.06,Independent,,,,
2003,Redpoint County Mutual Ins Co.,0.02,Independent,,,,
2003,Root Insurance Co.,0,Direct,,,,
2003,Safe Auto Insurance Group,0.15,Independent,,,,
2003,Safety Insurance,0.29,Independent,,,,
2003,Safeway Insurance,0.18,Independent,,,,
2003,Selective,0.12,Independent,,,,
2003,Sentry,0.58,Independent,,,,
2003,Shelter Insurance,0.41,Independent,,,,
2003,Southern Farm Bureau Casualty,0.64,Independent,,,,
2003,State Auto,0.33,Independent,,,,
2003,State Farm,19.28,Captive,,,,
2003,Tennessee Farmers Insurance Companies,0.29,Independent,,,,
2003,Texas Farm Bureau Insurance,0.05,Captive,,,,
2003,The Cincinnati Insurance Cos.,0.29,Independent,,,,
2003,The Hanover Insurance Group,0.73,Independent,,,,
2003,The Hartford,1.45,Independent,,,,
2003,Tiptree Inc.,0.02,Independent,,,,
2003,Tokio Marine,0.03,Independent,,,,
2003,Travelers,1.85,Independent,,,,
2003,United Automobile Insurance Co,0.18,Independent,,,,
2003,Universal Group Inc.,0.09,Independent,,,,
2003,USAA,3.58,Direct,,,,
2003,Utica National Insurance Group,0.11,Independent,,,,
2003,VA Farm Bureau Federation,0.08,Independent,,,,
2003,Wawanesa General Insurance Co.,0.09,Independent,,,,
2003,West Bend Mutual Insurance Co.,0.06,Independent,,,,
2003,Western National Insurance,0.12,Independent,,,,
2003,Westfield Insurance,0.24,Independent,,,,
2004,ACCC Insurance Co.,0.03,Independent,,,,
2004,ACUITY A Mutual Insurance Co.,0.06,Independent,,,,
2004,Agency Insurance Co. of MD Inc,0.02,Independent,,,,
2004,AIG,1.45,Independent,,,,
2004,Alfa Mutual Group,0.3,Independent,,,,
2004,Allstate Corp,10.56,Captive,,,,
2004,American Access Casualty Co.,0.02,Independent,,,,
2004,American Family Insurance,2.51,Captive,,,,
2004,American National,0.35,Independent,,,,
2004,Amica,0.59,Direct,,,,
2004,AmTrust Financial,0.16,Independent,,,,
2004,Arbella Insurance,0.27,Independent,,,,
2004,AssuranceAmerica,0.03,Independent,,,,
2004,Auto Club Exchange,1.2,Direct,,,,
2004,Auto Club Insurance Association,0.95,Direct,,,,
2004,Auto-Owners Insurance,0.84,Independent,,,,
2004,Bear River Mutual Insurance Co,0.03,Captive,,,,
2004,Berkshire Hathaway Inc.,5.49,Direct,,,,
2004,California Casualty,0.17,Direct,,,,
2004,Central Insurance Companies,0.08,Independent,,,,
2004,Chubb,0.35,Independent,,,,
2004,Consumers County Mutual Ins Co,0.11,Independent,,,,
2004,COUNTRY Financial,0.62,Independent,,,,
2004,CSAA Insurance Exchange,1.2,Direct,,,,
2004,Donegal,0.12,Independent,,,,
2004,Elephant Insurance Co.,,Direct,,,,
2004,Encova Insurance,0.15,Independent,,,,
2004,Erie Insurance,1.22,Independent,,,,
2004,Farm Bureau Financial Services,0.26,Independent,,,,
2004,Farm Bureau Mutl Ins Co. of ID,0.05,Independent,,,,
2004,Farmers Insurance,6.71,Captive,,,,
2004,Farmers Mutual Ins Co. of NE,0.05,Independent,,,,
2004,First Acceptance,0.07,Independent,,,,
2004,Frankenmuth Insurance,0.05,Independent,,,,
2004,Georgia Farm Bureau,0.17,Independent,,,,
2004,Germania Insurance,0.03,Independent,,,,
2004,GoAuto Insurance Co.,0,Independent,,,,
2004,Grange Insurance,0.35,Independent,,,,
2004,Grinnell Mutual,0.07,Independent,,,,
2004,Home State Insurance Grp Inc.,0.24,Independent,,,,
2004,Horace Mann,0.24,Independent,,,,
2004,IMT,0.03,Independent,,,,
2004,Indiana Farm Bureau,0.17,Independent,,,,
2004,Kemper,1.26,Direct,,,,
2004,Kentucky Farm Bureau,0.27,Independent,,,,
2004,Liberty Mutual,4.59,Independent,,,,
2004,Loya Insurance,0,Captive,,,,
2004,MAPFRE,0.97,Independent,,,,
2004,Markel,0.05,Independent,,,,
2004,Mercury Insurance,1.44,Independent,,,,
2004,MetLife,1.33,Independent,,,,
2004,MGA Insurance Co.,0.03,Independent,,,,
2004,Michigan Farm Bureau,0.17,Independent,,,,
